SmartSpaDash running on port 3000
Sheet seed: 0 services, 0 staff
2026-06-05 02:15:22 GET /?v=15 from 49.156.22.178
2026-06-05 02:15:22 GET /api/approvals from 49.156.22.178
2026-06-05 02:15:23 GET /api/dashboard from 49.156.22.178
2026-06-05 02:15:25 GET /api/services from 49.156.22.178
2026-06-05 02:15:25 GET /api/staff from 49.156.22.178
2026-06-05 02:15:26 GET /api/homecare from 49.156.22.178
2026-06-05 02:17:53 GET /api/dashboard from 49.156.22.178
2026-06-05 02:18:04 GET /api/appointments from 49.156.22.178
2026-06-05 02:18:15 GET /api/approvals from 49.156.22.178
2026-06-05 02:18:21 GET /api/dashboard from 49.156.22.178
2026-06-05 02:18:22 GET /api/services from 49.156.22.178
2026-06-05 02:18:23 GET /api/staff from 49.156.22.178
2026-06-05 02:18:23 GET /api/homecare from 49.156.22.178
2026-06-05 02:18:27 POST /api/auth from 49.156.22.178
2026-06-05 02:18:27 GET /api/approvals from 49.156.22.178
2026-06-05 02:18:27 GET /api/dashboard from 49.156.22.178
2026-06-05 02:18:30 GET /api/users from 49.156.22.178
2026-06-05 02:18:45 DELETE /api/users/u3 from 49.156.22.178
2026-06-05 02:18:45 GET /api/users from 49.156.22.178
2026-06-05 02:18:47 DELETE /api/users/u4 from 49.156.22.178
2026-06-05 02:18:47 GET /api/users from 49.156.22.178
2026-06-05 02:18:53 DELETE /api/users/u2 from 49.156.22.178
2026-06-05 02:18:53 GET /api/users from 49.156.22.178
2026-06-05 02:22:47 POST /api/users from 49.156.22.178
2026-06-05 02:22:47 GET /api/users from 49.156.22.178
2026-06-05 02:23:16 GET /?v=15 from 49.156.22.178
2026-06-05 02:23:26 POST /api/auth from 49.156.22.178
2026-06-05 02:23:26 GET /api/dashboard from 49.156.22.178
2026-06-05 02:23:34 GET /api/services from 49.156.22.178
2026-06-05 02:23:35 GET /api/staff from 49.156.22.178
2026-06-05 02:23:43 GET /api/appointments from 49.156.22.178
2026-06-05 02:24:20 GET /api/appointments from 49.156.22.178
2026-06-05 02:24:20 GET /api/staff from 49.156.22.178
2026-06-05 02:24:22 GET /api/appointments from 49.156.22.178
2026-06-05 02:24:30 GET /api/staff from 49.156.22.178
2026-06-05 02:24:30 GET /api/appointments from 49.156.22.178
2026-06-05 02:24:32 GET /api/appointments from 49.156.22.178
2026-06-05 02:24:33 GET /api/staff from 49.156.22.178
2026-06-05 02:24:34 GET /api/services from 49.156.22.178
2026-06-05 02:25:44 GET /api/appointments from 49.156.22.178
2026-06-05 02:28:45 GET /api/dashboard from 49.156.22.178
2026-06-05 02:28:48 GET /api/services from 49.156.22.178
2026-06-05 02:28:48 GET /api/staff from 49.156.22.178
2026-06-05 02:28:48 GET /api/homecare from 49.156.22.178
2026-06-05 02:28:50 GET /api/appointments from 49.156.22.178
2026-06-05 02:28:53 GET /api/dashboard from 49.156.22.178
2026-06-05 02:28:55 GET /api/staff from 49.156.22.178
2026-06-05 02:28:55 GET /api/appointments from 49.156.22.178
2026-06-05 02:28:58 GET /api/dashboard from 49.156.22.178
